タスク名,項目,必要か,担当,期日,ステータス,画像URL,備考,フェーズ
素材用意,新ロゴ（ヘッダー用）,要,FE様,2026/01/30,完了,,,ph1
,新ロゴ（ファビコン用）,要,FE様,2026/01/30,未,,,ph1
,新ブランドガイドライン（あれば）,不要？,FE様,,未,,,ph1
,1DAYスタンダード新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,1DAYプレミアム新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,1DAY各種商品ページ内カルーセル画像,要,FE様,2026/01/30,完了,,Excel下部素材詳細参照,ph1
,2WEEKスタンダード新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,2WEEKプレミアム新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,2WEEK各種商品ページ内カルーセル画像,要,FE様,,未,,Excel下部素材詳細参照,ph1
,1MONTHスタンダード新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,1MONTH各種商品ページ内カルーセル画像,要,FE様,,未,,Excel下部素材詳細参照,ph1
,ブルーライトカット新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,ブルーライトカット各種商品ページ内カルーセル画像,要,FE様,,未,,Excel下部素材詳細参照,ph1
,乱視用1DAY新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,乱視用2WEEK新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,乱視用各商品ページ利用予定画像,要,FE様,,未,,Excel下部素材詳細参照,ph1
,TOPメインビジュアル（PC用）,要,FE様,,未,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/slider/new_ec_top_standard_pc.jpg,カルーセルバナー？,ph1
,TOPメインビジュアル（SP用）,要,FE様,,未,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/slider/new_ec_top_standard_sp.jpg,カルーセルバナー？,ph1
,工場紹介箇所の段ボールのロゴ画像,不要,FE様,,未,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/bluelight-1day/sec_5_img_11.jpg,,ph1
,フッター各画像,要,WCA様,,未,,,ph1
,1dayスタンダード　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,2weekスタンダード　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,1MONTHスタンダード　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,1dayシリコーン　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,2weekシリコーン　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,ブルーライトカット　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,1day乱視用　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,2week乱視用　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,カテゴリーSTANDARD（PC用）,要,FE様,,未,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/category_standard_mv_pc.jpg,,ph1
,カテゴリーSTANDARD（SP用）,要,FE様,,未,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/category_standard_mv_sp.png,,ph1
,カテゴリーPREMIUM（PC用）,要,FE様,,未,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/category_premium_mv_pc.jpg,,ph1
,カテゴリーPREMIUM（SP用）,要,FE様,,未,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/category_premium_mv_sp.png,,ph1
,カテゴリーBLUE LIGHT（PC用）,要,FE様,,未,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/category_bluelight_mv_pc.jpg,,ph1
,カテゴリーBLUE LIGHT（SP用）,要,FE様,,未,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/category_bluelight_mv_sp.png,,ph1
,カテゴリー定期（PC用）,要,既存？,,未,,パッケージ画像、ロゴ画像、価格変更,ph1
,カテゴリー定期（SP用）,要,既存？,,未,,パッケージ画像、ロゴ画像、価格変更,ph1
,コーポレートサイトTOPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,コーポレートサイトお知らせ一覧デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,コーポレートサイトお知らせ詳細デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,コーポレートサイト製品実績デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,コーポレートサイト会社概要デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,コーポレートサイトお役立ち情報一覧デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,コーポレートサイトお役立ち情報詳細デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,コーポレートサイト採用募集デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,コーポレートサイト処方場所一覧デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,コーポレートサイト処方場所都道府県別デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,コーポレートサイトお問合せデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,コーポレートサイトお問合せ完了デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,カラコンブランドサイトTOPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,カラコンブランドサイトブランド一覧デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,カラコンブランドサイト各ブランドページデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,カラコンブランドサイト最新情報一覧デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,カラコンブランドサイト製品のこだわりデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,カラコンブランドサイト安全への取り組みデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,カラコンブランドサイトシリコーンレンズデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,カラコンブランドサイトデザイン面の話デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,カラコンブランドサイトコンタクトレンズについて一覧デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,カラコンブランドサイトコンタクトレンズについて詳細デザインデータ（PC・SP）,要,FE様,,未,,,ph1
,価格変更一覧表,要,FE様,,未,,,ph1
制作（直販EC）,1dayスタンダード 30×1　テストフォーム作成,要,WCA,,未,,,ph1
,1dayスタンダード 30×1　商品LP差し替えテストアップ,要,WCA,,未,,,ph1
,1dayスタンダード 30×1　商品LP差し替えテストアップご確認,要,FE様,,未,,,ph1
,1dayスタンダード 30×1　コーディング,要,WCA,,未,,,ph1
,1dayスタンダード 30×2　テストフォーム作成,要,WCA,,未,,,ph1
,1dayスタンダード 30×2　商品LP差し替えテストアップ,要,WCA,,未,,,ph1
,1dayスタンダード 30×2　商品LP差し替えテストアップご確認,要,FE様,,未,,,ph1
,1dayスタンダード 30×2　コーディング,要,WCA,,未,,,ph1
,1dayスタンダード 定期　テストフォーム作成,不要,WCA,,未,,,ph1
,1dayスタンダード 定期　商品LP差し替えテストアップ,不要,WCA,,未,,,ph1
,1dayスタンダード 定期　商品LP差し替えテストアップご確認,不要,FE様,,未,,,ph1
,1dayスタンダード 定期　コーディング,不要,WCA,,未,,,ph1
,2wスタンダード6×2　テストフォーム作成,要,WCA,,未,,,ph1
,2wスタンダード6×2　商品LP差し替えテストアップ,要,WCA,,未,,,ph1
,2wスタンダード6×2　商品LP差し替えテストアップご確認,要,FE様,,未,,,ph1
,2wスタンダード6×2　コーディング,要,WCA,,未,,,ph1
,2wスタンダード6×1　テストフォーム作成,要,WCA,,未,,,ph1
,2wスタンダード6×1　商品LP差し替えテストアップ,要,WCA,,未,,,ph1
,2wスタンダード6×1　商品LP差し替えテストアップご確認,要,FE様,,未,,,ph1
,2wスタンダード6×1　コーディング,要,WCA,,未,,,ph1
,1Mスタンダード6×2　コーディング,要,WCA,,未,,,ph1
,1Mスタンダード6×2　テストフォーム作成,要,WCA,,未,,,ph1
,1Mスタンダード6×2　商品LP差し替えテストアップ,要,WCA,,未,,,ph1
,1Mスタンダード6×2　商品LP差し替えテストアップご確認,要,FE様,,未,,,ph1
,1Mスタンダード6×2　コーディング,要,WCA,,未,,,ph1
,1Mスタンダード6×1　テストフォーム作成,要,WCA,,未,,,ph1
,1Mスタンダード6×1　商品LP差し替えテストアップ,要,WCA,,未,,,ph1
,1Mスタンダード6×1　商品LP差し替えテストアップご確認,要,FE様,,未,,,ph1
,1Mスタンダード6×1　コーディング,要,WCA,,未,,,ph1
,1dayシリコーン30×1　テストフォーム作成,要,WCA,,未,,,ph1
,1dayシリコーン30×1　商品LP差し替えテストアップ,要,WCA,,未,,,ph1
,1dayシリコーン30×1　商品LP差し替えテストアップご確認,要,FE様,,未,,,ph1
,1dayシリコーン30×1　コーディング,要,WCA,,未,,,ph1
,1dayシリコーン初回10日分　テストフォーム作成,不要,WCA,,未,,,ph1
,1dayシリコーン初回10日分　商品LP差し替えテストアップ,要,WCA,,未,,パケ画像差し替え（ツヅクル社から納品）,ph1
,1dayシリコーン初回10日分　商品LP差し替えテストアップご確認,要,FE様,,未,,,ph1
,1dayシリコーン初回10日分　コーディング,要,WCA,,未,,,ph1
,1dayシリコーン乱視　テストフォーム作成,要,WCA,,未,,,ph1
,1dayシリコーン乱視　商品LP設置テストアップ,要,WCA,,未,,,ph1
,1dayシリコーン乱視　商品LP設置テストアップご確認,要,FE様,,未,,,ph1
,1dayシリコーン乱視　コーディング,要,WCA,,未,,,ph1
,2weekシリコーン乱視　テストフォーム作成,要,WCA,,未,,,ph1
,2weekシリコーン乱視　商品LP設置テストアップ,要,WCA,,未,,,ph1
,2weekシリコーン乱視　商品LP設置テストアップご確認,要,FE様,,未,,,ph1
,2weekシリコーン乱視　コーディング,要,WCA,,未,,,ph1
,1Mスタンダード6×1価格変更　※バナー価格も,要,WCA,,未,,変更後価格：,ph1
,1dayBL 30×1価格変更　※バナー価格も,要,WCA,,未,,変更後価格：,ph1
,1dayBL 30×2価格変更　※バナー価格も,要,WCA,,未,,変更後価格：,ph1
,1dayBL 30×6価格変更　※バナー価格も,要,WCA,,未,,変更後価格：,ph1
,1dayBL 定期価格変更　※バナー価格も,要,WCA,,未,,変更後価格：,ph1
,1dayBL 30×1　テストフォーム作成,要,WCA,,未,,,ph1
,1dayBL 30×1　商品LP差し替えテストアップ,要,WCA,,未,,,ph1
,1dayBL 30×1　商品LP差し替えテストアップご確認,要,FE様,,未,,,ph1
,1dayBL 30×1　コーディング,要,WCA,,未,,,ph1
,1dayBL 30×2　テストフォーム作成,要,WCA,,未,,,ph1
,1dayBL 30×2　商品LP差し替えテストアップ,要,WCA,,未,,,ph1
,1dayBL 30×2　商品LP差し替えテストアップご確認,要,FE様,,未,,,ph1
,1dayBL 30×2　コーディング,要,WCA,,未,,,ph1
,1dayBL 30×6　テストフォーム作成,要,WCA,,未,,,ph1
,1dayBL 30×6　商品LP差し替えテストアップ,要,WCA,,未,,,ph1
,1dayBL 30×6　商品LP差し替えテストアップご確認,要,FE様,,未,,,ph1
,1dayBL 30×6　コーディング,要,WCA,,未,,,ph1
,1dayBL 定期　テストフォーム作成,不要,WCA,,未,,,ph1
,1dayBL 定期　商品LP差し替えテストアップ,不要,WCA,,未,,,ph1
,1dayBL 定期　商品LP差し替えテストアップご確認,不要,FE様,,未,,,ph1
,1dayBL 定期　コーディング,不要,WCA,,未,,,ph1
,ヘッダーフッタートンマナ調整イメージご提案　※TOPのみコンテンツも調整,要,WCA,2026/02/06,未,,,ph1
,ヘッダーフッタートンマナ調整イメージご確認　※TOPのみコンテンツも調整,要,FE様,,未,,,ph1
,ヘッダーフッタートンマナ調整テストアップ　※TOPのみコンテンツも調整,要,WCA,,未,,,ph1
,ヘッダーフッタートンマナ調整テストアップご確認　※TOPのみコンテンツも調整,要,FE様,,未,,,ph1
,ヘッダーフッタートンマナコーディング　※TOPのみコンテンツも調整,要,WCA,,未,,,ph1
,ロゴ画像差し替え　※備考URL参照,要,WCA,,未,,https://docs.google.com/spreadsheets/d/1o4uEtCztXe5NJt45c5lc5VSgNgW3UcBhsbyAhG8TQso/edit?gid=0#gid=0,ph1
,ファビコン画像差し替え,要,WCA,,未,,,ph1
,既存テキストRefrear→refrear差し替え　※備考URL差し替え,要,WCA,,未,,https://docs.google.com/spreadsheets/d/1o4uEtCztXe5NJt45c5lc5VSgNgW3UcBhsbyAhG8TQso/edit?gid=0#gid=0,ph1
,ECサイト本番リリース,要,WCA,2026/04/01,未,,,ph1
Corpサイト,コーポレートサイトTOPコーディング,要,WCA,,未,,,ph1
,コーポレートサイトTOPテストアップ,要,FE様,,未,,,ph1
,コーポレートサイトTOPテストアップご確認,要,WCA,,未,,,ph1
,コーポレートサイトお知らせ一覧コーディング,要,WCA,,未,,,ph1
,コーポレートサイトお知らせ一覧テストアップ,要,FE様,,未,,,ph1
,コーポレートサイトお知らせ一覧テストアップご確認,要,WCA,,未,,,ph1
,コーポレートサイトお知らせ詳細コーディング,要,WCA,,未,,,ph1
,コーポレートサイトお知らせ詳細テストアップ,要,FE様,,未,,,ph1
,コーポレートサイトお知らせ詳細テストアップご確認,要,WCA,,未,,,ph1
,コーポレートサイト製品実績コーディング,要,WCA,,未,,,ph1
,コーポレートサイト製品実績テストアップ,要,FE様,,未,,,ph1
,コーポレートサイト製品実績テストアップご確認,要,WCA,,未,,,ph1
,コーポレートサイト会社概要コーディング,要,WCA,,未,,,ph1
,コーポレートサイト会社概要テストアップ,要,FE様,,未,,,ph1
,コーポレートサイト会社概要テストアップご確認,要,WCA,,未,,,ph1
,コーポレートサイトお役立ち情報コーディング,要,WCA,,未,,,ph1
,コーポレートサイトお役立ち情報テストアップ,要,FE様,,未,,,ph1
,コーポレートサイトお役立ち情報テストアップご確認,要,WCA,,未,,,ph1
,コーポレートサイトお役立ち情報詳細コーディング,要,WCA,,未,,,ph1
,コーポレートサイトお役立ち情報詳細テストアップ,要,FE様,,未,,,ph1
,コーポレートサイトお役立ち情報詳細テストアップご確認,要,WCA,,未,,,ph1
,コーポレートサイト採用募集コーディング,要,WCA,,未,,,ph1
,コーポレートサイト採用募集テストアップ,要,FE様,,未,,,ph1
,コーポレートサイト採用募集テストアップご確認,要,WCA,,未,,,ph1
,コーポレートサイト処方場所一覧コーディング,要,WCA,,未,,,ph1
,コーポレートサイト処方場所一覧テストアップ,要,FE様,,未,,,ph1
,コーポレートサイト処方場所一覧テストアップご確認,要,WCA,,未,,,ph1
,コーポレートサイト処方場所都道府県別コーディング,要,WCA,,未,,,ph1
,コーポレートサイト処方場所都道府県別テストアップ,要,FE様,,未,,,ph1
,コーポレートサイト処方場所都道府県別テストアップご確認,要,WCA,,未,,,ph1
,コーポレートサイトお問合せコーディング,要,WCA,,未,,,ph1
,コーポレートサイトお問合せテストアップ,要,FE様,,未,,,ph1
,コーポレートサイトお問合せテストアップご確認,要,WCA,,未,,,ph1
,コーポレートサイトお問合せコーディング,要,WCA,,未,,,ph1
,コーポレートサイトお問合せテストアップ,要,FE様,,未,,,ph1
,コーポレートサイトお問合せテストアップご確認,要,WCA,,未,,,ph1
,コーポレートサイト本番リリース,要,WCA,2026/4/1→延期,未,,,ph1
,コーポレートサイトリダイレクト処理,要,WCA,2026/04/01,未,,https://refrear.jp/　からクリアブランドサイトへのリダイレクト処理,ph1
カラコンブランドサイト,カラコンブランドサイトTOPコーディング,要,WCA,,未,,,ph1
,カラコンブランドサイトTOPテストアップ,要,WCA,,未,,,ph1
,カラコンブランドサイトTOPテストアップご確認,要,FE様,,未,,,ph1
,カラコンブランドサイトブランド一覧コーディング,要,WCA,,未,,,ph1
,カラコンブランドサイトブランド一覧テストアップご,要,WCA,,未,,,ph1
,カラコンブランドサイトブランド一覧テストアップご確認,要,FE様,,未,,,ph1
,カラコンブランドサイト各ブランドページコーディング,要,WCA,,未,,,ph1
,カラコンブランドサイト各ブランドページテストアップ,要,WCA,,未,,,ph1
,カラコンブランドサイト各ブランドページテストアップご確認,要,FE様,,未,,,ph1
,カラコンブランドサイト最新情報一覧コーディング,要,WCA,,未,,,ph1
,カラコンブランドサイト最新情報一覧テストアップ,要,WCA,,未,,,ph1
,カラコンブランドサイト最新情報一覧テストアップご確認,要,FE様,,未,,,ph1
,カラコンブランドサイト製品のこだわりコーディング,要,WCA,,未,,,ph1
,カラコンブランドサイト製品のこだわりテストアップ,要,WCA,,未,,,ph1
,カラコンブランドサイト製品のこだわりテストアップご確認,要,FE様,,未,,,ph1
,カラコンブランドサイトシリコーンレンズコーディング,要,WCA,,未,,,ph1
,カラコンブランドサイトシリコーンレンズテストアップ,要,WCA,,未,,,ph1
,カラコンブランドサイトシリコーンレンズテストアップご確認,要,FE様,,未,,,ph1
,カラコンブランドサイトデザイン面の話コーディング,要,WCA,,未,,,ph1
,カラコンブランドサイトデザイン面の話テストアップ,要,WCA,,未,,,ph1
,カラコンブランドサイトデザイン面の話テストアップご確認,要,FE様,,未,,,ph1
,カラコンブランドサイトコンタクトレンズについて一覧コーディング,要,WCA,,未,,,ph1
,カラコンブランドサイトコンタクトレンズについて一覧テストアップ,要,WCA,,未,,,ph1
,カラコンブランドサイトコンタクトレンズについて一覧テストアップご確認,要,FE様,,未,,,ph1
,カラコンブランドサイトコンタクトレンズについて詳細コーディング,要,WCA,,未,,,ph1
,カラコンブランドサイトコンタクトレンズについて詳細テストアップ,要,WCA,,未,,,ph1
,カラコンブランドサイトコンタクトレンズについて詳細テストアップご確認,要,FE様,,未,,,ph1
,カラコンブランドサイト本番リリース,要,WCA,2026/4/1→延期,未,,,ph1
その他,（直販EC）各商品ページ固有のコンテンツをどこまで残すか（2wの使い方など）,要,FE様,2026/02/13,未,,,ph1？
素材詳細,,,,,,,,
商品ページ内画像素材（カルーセル・コンテンツ）,モデル画像（サムネ）,要,FE様,,未,https://shopping.refrear.jp/shopping-refrair/wp-content/uploads/2025/09/2509_ec_thumbnail_premium_1day_1500x1500.jpg,,ph1
,パッケージのみ画像　背景グラデーション,要,WCA,,完了,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/silicone_1day_30x1box.png,,ph1
,3つの特徴画像（Wの潤い、酸素透過率、レンズの硬さ）,不要,既存,,完了,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/silicone_1day_03.png,,ph1
,各商品用コンタクトレンズラインナップ,要,FE様,,未,https://shopping.refrear.jp/shopping-refrair/wp-content/uploads/2025/09/4_premium_1day.png,,ph1
,ネコポス、当日お届け,要,既存,,完了,https://shopping.refrear.jp/shopping-refrair/wp-content/uploads/2025/09/delivery.png,,ph1
,快適の秘密（うるおい、低含水、UV）,不要,既存,,完了,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/standard_1day_03.png,,ph1
,瞳を守る新常識,不要,既存,,完了,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/bluelight_1day_03.png,,ph1
カラコンブランド,a-eye,不要,既存,,完了,,,ph1
,Unrolla,不要,既存,,完了,,,ph1
,O&ME,不要,既存,,完了,,,ph1
,dolemi,不要,既存,,完了,,,ph1
,RIRI BUNNY,不要,既存,,完了,,,ph1
,BELTA,不要,既存,,完了,,,ph1
,Suclair,不要,既存,,完了,,,ph1
※既存はすでにあるもので利用できそう、の意味です,,,,,,,,
